time	V(n005)	V(n006)
4.775051012879488e-03	1.451539e+01	1.499250e+01
4.775522524524833e-03	1.451587e+01	1.499250e+01
4.775983454659721e-03	1.451633e+01	1.499250e+01
4.776396388269786e-03	1.451674e+01	1.499250e+01
4.776769774812121e-03	1.451710e+01	1.499250e+01
4.777085977255281e-03	1.451740e+01	1.499250e+01
4.777408296393951e-03	1.451771e+01	1.499250e+01
4.777791478073619e-03	1.451806e+01	1.499250e+01
4.778279315663347e-03	1.451851e+01	1.499250e+01
4.778848071965716e-03	1.451902e+01	1.499250e+01
4.779329523496861e-03	1.451945e+01	1.499250e+01
4.779673490933696e-03	1.451975e+01	1.499250e+01
4.779995550547515e-03	1.452003e+01	1.499250e+01
4.780323986412126e-03	1.452031e+01	1.499250e+01
4.780787915360780e-03	1.452070e+01	1.499250e+01
4.781343032847424e-03	1.452116e+01	1.499250e+01
4.781875307227830e-03	1.452159e+01	1.499250e+01
4.782242436764222e-03	1.452188e+01	1.499250e+01
4.782562240571914e-03	1.452214e+01	1.499250e+01
4.782886818035865e-03	1.452239e+01	1.499250e+01
4.783291916451726e-03	1.452271e+01	1.499250e+01
4.783800267458751e-03	1.452310e+01	1.499250e+01
4.784503671565169e-03	1.452363e+01	1.499250e+01
4.784913258201373e-03	1.452393e+01	1.499250e+01
4.785240839506588e-03	1.452417e+01	1.499250e+01
4.785576526725372e-03	1.452442e+01	1.499250e+01
4.785960549661368e-03	1.452469e+01	1.499250e+01
4.786462776875740e-03	1.452505e+01	1.499250e+01
4.787121172528578e-03	1.452551e+01	1.499250e+01
4.787543127264367e-03	1.452580e+01	1.499250e+01
4.787874201591897e-03	1.452603e+01	1.499250e+01
4.788217149335038e-03	1.452626e+01	1.499250e+01
4.788572424334127e-03	1.452650e+01	1.499250e+01
4.789060797459556e-03	1.452682e+01	1.499250e+01
4.789649057452500e-03	1.452721e+01	1.499250e+01
4.790079992495334e-03	1.452749e+01	1.499250e+01
4.790410609723347e-03	1.452770e+01	1.499250e+01
4.790727342060561e-03	1.452790e+01	1.499250e+01
4.791046566740412e-03	1.452810e+01	1.499250e+01
4.791474752811524e-03	1.452837e+01	1.499250e+01
4.791975062395814e-03	1.452868e+01	1.499250e+01
4.792632300531841e-03	1.452908e+01	1.499250e+01
4.793010046123512e-03	1.452930e+01	1.499250e+01
4.793333199637556e-03	1.452950e+01	1.499250e+01
4.793664229577426e-03	1.452969e+01	1.499250e+01
4.794043190656462e-03	1.452991e+01	1.499250e+01
4.794535266382242e-03	1.453020e+01	1.499250e+01
4.795159665279403e-03	1.453056e+01	1.499250e+01
4.795547938016535e-03	1.453078e+01	1.499250e+01
4.795872755102993e-03	1.453096e+01	1.499250e+01
4.796217115925418e-03	1.453116e+01	1.499250e+01
4.796537539810393e-03	1.453133e+01	1.499250e+01
4.796997269673533e-03	1.453159e+01	1.499250e+01
4.797512089145355e-03	1.453187e+01	1.499250e+01
4.797993573992291e-03	1.453213e+01	1.499250e+01
4.798336756864367e-03	1.453231e+01	1.499250e+01
4.798655137095580e-03	1.453248e+01	1.499250e+01
4.798982963495974e-03	1.453266e+01	1.499250e+01
4.799335692858621e-03	1.453284e+01	1.499250e+01
4.799807725802394e-03	1.453308e+01	1.499250e+01
4.800376766643053e-03	1.453338e+01	1.499250e+01
4.800788098619228e-03	1.453359e+01	1.499250e+01
4.801113816942778e-03	1.453375e+01	1.499250e+01
4.801431765945687e-03	1.453391e+01	1.499250e+01
4.801755767701411e-03	1.453407e+01	1.499250e+01
4.802138215524323e-03	1.453426e+01	1.499250e+01
4.802620187568878e-03	1.453450e+01	1.499250e+01
4.803246820077077e-03	1.453481e+01	1.499250e+01
4.803609539901300e-03	1.453498e+01	1.499250e+01
4.803931710752720e-03	1.453514e+01	1.499250e+01
4.804286815011982e-03	1.453531e+01	1.499250e+01
4.804608764987620e-03	1.453546e+01	1.499250e+01
4.805064499376910e-03	1.453567e+01	1.499250e+01
4.805570892230096e-03	1.453591e+01	1.499250e+01
4.806081399581140e-03	1.453614e+01	1.499250e+01
4.806430673085071e-03	1.453630e+01	1.499250e+01
4.806750744586958e-03	1.453645e+01	1.499250e+01
4.807080863027404e-03	1.453660e+01	1.499250e+01
4.807425196195568e-03	1.453675e+01	1.499250e+01
