time	V(in)	V(out)
5.492806280359015e-05	5.624876e+00	1.427881e+01
5.502571905359016e-05	5.623915e+00	1.427875e+01
5.512337530359016e-05	5.622005e+00	1.427861e+01
5.531868780359017e-05	5.615346e+00	1.427813e+01
5.561165655359017e-05	5.598293e+00	1.427685e+01
5.582091994644733e-05	5.580766e+00	1.427553e+01
5.603018333930447e-05	5.559201e+00	1.427389e+01
5.623944673216162e-05	5.533598e+00	1.427195e+01
5.644871012501877e-05	5.503956e+00	1.426969e+01
5.665797351787592e-05	5.470276e+00	1.426712e+01
5.686723691073307e-05	5.432558e+00	1.426424e+01
5.707650030359022e-05	5.390802e+00	1.426105e+01
5.749502708930451e-05	5.293214e+00	1.425359e+01
5.791355387501881e-05	5.185532e+00	1.424535e+01
5.833208066073311e-05	5.067757e+00	1.423632e+01
5.875060744644741e-05	4.939888e+00	1.422651e+01
5.916913423216170e-05	4.801925e+00	1.421593e+01
5.958766101787601e-05	4.653869e+00	1.420456e+01
6.000618780359030e-05	4.495718e+00	1.419242e+01
6.050841994644746e-05	4.297168e+00	1.417716e+01
6.101065208930461e-05	4.103583e+00	1.416227e+01
6.151288423216178e-05	3.914965e+00	1.414776e+01
6.201511637501892e-05	3.731314e+00	1.413362e+01
6.251734851787608e-05	3.552628e+00	1.411986e+01
6.301958066073324e-05	3.378909e+00	1.410647e+01
6.352181280359040e-05	3.210156e+00	1.409346e+01
6.374677095091183e-05	3.142353e+00	1.408823e+01
6.397172909823327e-05	3.078348e+00	1.408329e+01
6.419668724555470e-05	3.018141e+00	1.407864e+01
6.442164539287614e-05	2.961734e+00	1.407428e+01
6.464660354019757e-05	2.909125e+00	1.407021e+01
6.487156168751902e-05	2.860314e+00	1.406643e+01
6.509651983484044e-05	2.815302e+00	1.406293e+01
6.512093389734044e-05	2.810730e+00	1.406258e+01
6.515301626634571e-05	2.804799e+00	1.406212e+01
6.518326892081703e-05	2.799290e+00	1.406169e+01
6.520682680874357e-05	2.795055e+00	1.406137e+01
6.523836976169946e-05	2.789462e+00	1.406093e+01
6.523935547897933e-05	2.789289e+00	1.406092e+01
6.524132691353908e-05	2.788942e+00	1.406089e+01
6.524526978265856e-05	2.788250e+00	1.406084e+01
6.525315552089755e-05	2.786871e+00	1.406073e+01
6.526892699737549e-05	2.784128e+00	1.406045e+01
6.527286986649498e-05	2.783446e+00	1.404628e+01
6.528075560473396e-05	2.782085e+00	1.378598e+01
6.528387527497573e-05	2.781549e+00	1.298825e+01
6.528588491183119e-05	2.781204e+00	1.102041e+01
6.528765750550382e-05	2.780899e+00	7.488379e+00
6.528941414216860e-05	2.780598e+00	3.139311e+00
6.529013605090877e-05	2.780474e+00	1.767359e+00
6.529086316523579e-05	2.780350e+00	1.038307e+00
6.529130490526785e-05	2.780274e+00	8.136215e-01
6.529180304471124e-05	2.780189e+00	6.700612e-01
6.529232824756126e-05	2.780099e+00	5.690714e-01
6.529325380629267e-05	2.779941e+00	4.548652e-01
6.529413283938469e-05	2.779790e+00	3.887011e-01
6.529533362603163e-05	2.779585e+00	3.416854e-01
6.529665083165382e-05	2.779360e+00	3.206969e-01
6.529853643503441e-05	2.779038e+00	3.147677e-01
6.530030221536032e-05	2.778738e+00	3.145360e-01
6.530261795935260e-05	2.778343e+00	3.144034e-01
6.530724944733714e-05	2.777556e+00	3.141978e-01
6.531651242330622e-05	2.775987e+00	3.139743e-01
6.532581611574965e-05	2.774419e+00	3.138692e-01
6.533909863386355e-05	2.772194e+00	3.138215e-01
6.535430238973661e-05	2.769666e+00	3.138041e-01
6.537053839718219e-05	2.766990e+00	3.137994e-01
6.539436907670907e-05	2.763104e+00	3.137946e-01
6.543652868315478e-05	2.756357e+00	3.137892e-01
6.567178857071070e-05	2.721494e+00	3.137574e-01
6.590704845826663e-05	2.691998e+00	3.137304e-01
6.614230834582255e-05	2.667867e+00	3.137083e-01
6.637756823337847e-05	2.649103e+00	3.136911e-01
6.661282812093439e-05	2.635704e+00	3.136787e-01
6.684808800849033e-05	2.627672e+00	3.136712e-01
6.708334789604625e-05	2.625005e+00	3.136686e-01
6.732051307461769e-05	2.628204e+00	3.136713e-01
6.755767825318912e-05	2.636848e+00	3.136789e-01
6.779484343176056e-05	2.650936e+00	3.136915e-01
6.803200861033199e-05	2.670469e+00	3.137090e-01
6.826917378890343e-05	2.695447e+00	3.137314e-01
6.850633896747485e-05	2.725869e+00	3.137587e-01
6.874350414604630e-05	2.761736e+00	3.137910e-01
6.910622736033202e-05	2.828057e+00	3.138508e-01
6.946895057461775e-05	2.903799e+00	3.139191e-01
6.983167378890347e-05	2.988961e+00	3.139960e-01
7.019439700318919e-05	3.083544e+00	3.140814e-01
7.055712021747491e-05	3.187547e+00	3.141754e-01
7.091984343176065e-05	3.300971e+00	3.142779e-01
7.128256664604637e-05	3.423815e+00	3.143890e-01
7.177084789604638e-05	3.603039e+00	3.145512e-01
7.225912914604640e-05	3.783338e+00	3.147143e-01
7.274741039604641e-05	3.964712e+00	3.148785e-01
7.323569164604642e-05	4.147161e+00	3.150438e-01
7.372397289604644e-05	4.330685e+00	3.152100e-01
7.421225414604645e-05	4.515283e+00	3.153773e-01
7.470053539604647e-05	4.700957e+00	3.155456e-01
7.507720950318933e-05	4.835055e+00	3.156672e-01
7.545388361033220e-05	4.959798e+00	3.157804e-01
7.583055771747506e-05	5.075187e+00	3.158851e-01
7.620723182461794e-05	5.181221e+00	3.159813e-01
7.658390593176081e-05	5.277901e+00	3.160692e-01
7.696058003890368e-05	5.365227e+00	3.161485e-01
7.733725414604654e-05	5.443199e+00	3.162194e-01
7.744886128890369e-05	5.463267e+00	3.162377e-01
7.756046843176084e-05	5.482192e+00	3.162549e-01
7.767207557461799e-05	5.499974e+00	3.162711e-01
7.778368271747512e-05	5.516614e+00	3.162863e-01
7.789528986033227e-05	5.532112e+00	3.163004e-01
7.800689700318942e-05	5.546467e+00	3.163135e-01
7.811850414604656e-05	5.559680e+00	3.163256e-01
7.818178591681335e-05	5.566627e+00	3.163746e-01
7.818342911444403e-05	5.566802e+00	3.163326e-01
7.820643388127369e-05	5.569229e+00	3.163345e-01
7.823272504336471e-05	5.571940e+00	3.370759e-01
7.824426773369148e-05	5.573109e+00	3.820945e-01
7.824537920854282e-05	5.573221e+00	3.972941e-01
7.824760215824551e-05	5.573445e+00	4.600543e-01
7.825204805765089e-05	5.573890e+00	6.924610e-01
7.825733160482291e-05	5.574418e+00	1.259576e+00
7.826225486331160e-05	5.574906e+00	2.334195e+00
7.826750262848540e-05	5.575424e+00	4.312684e+00
7.827432721131866e-05	5.576095e+00	7.702183e+00
7.827876477764715e-05	5.576528e+00	9.902885e+00
7.828328118517480e-05	5.576967e+00	1.164971e+01
7.828855505177156e-05	5.577477e+00	1.298275e+01
7.829255842650918e-05	5.577863e+00	1.357673e+01
7.829632197422308e-05	5.578224e+00	1.387400e+01
7.830121805521530e-05	5.578691e+00	1.407963e+01
7.830583401460484e-05	5.579130e+00	1.417698e+01
7.831165422746413e-05	5.579680e+00	1.423119e+01
7.831807090780471e-05	5.580283e+00	1.425626e+01
7.832740276103742e-05	5.581153e+00	1.426893e+01
