time	V(v_osc2)	V(n007)
7.409483027611175e-05	2.930847e-01	-1.360544e+01
7.611043044120994e-05	2.931145e-01	-1.360544e+01
7.783798826635582e-05	2.931379e-01	-1.360544e+01
7.960702772126200e-05	2.931600e-01	-1.360544e+01
8.159793863308120e-05	2.931828e-01	-1.360544e+01
8.352130215946518e-05	2.932030e-01	-1.360544e+01
8.543290336448953e-05	2.932214e-01	-1.360544e+01
8.745249235084608e-05	2.932391e-01	-1.360544e+01
8.961549428644588e-05	2.932565e-01	-1.360544e+01
9.162550454446678e-05	2.932712e-01	-1.360544e+01
9.348176364343918e-05	2.932836e-01	-1.360544e+01
9.548642346334005e-05	2.932957e-01	-1.360544e+01
9.774240399341290e-05	2.933083e-01	-1.360544e+01
9.972593198423779e-05	2.933183e-01	-1.360544e+01
1.015165960681520e-04	2.933266e-01	-1.360544e+01
1.034192246716284e-04	2.933347e-01	-1.360544e+01
1.050287877061497e-04	2.933410e-01	-1.360544e+01
1.068111455092994e-04	2.933474e-01	-1.360544e+01
1.089461347908657e-04	2.933545e-01	-1.360544e+01
1.109841440148482e-04	2.933607e-01	-1.360544e+01
1.136861071467896e-04	2.933680e-01	-1.360544e+01
1.159571035425528e-04	2.933735e-01	-1.360544e+01
1.185993737842974e-04	2.933792e-01	-1.360544e+01
1.211408203683118e-04	2.933841e-01	-1.360544e+01
1.235040340189571e-04	2.933882e-01	-1.360544e+01
1.272928213244219e-04	2.933938e-01	-1.360544e+01
1.302879471239358e-04	2.933977e-01	-1.360544e+01
1.332565802755629e-04	2.934011e-01	-1.360544e+01
1.363378701760350e-04	2.934041e-01	-1.360544e+01
1.395812115460561e-04	2.934068e-01	-1.360544e+01
1.448807933313065e-04	2.934104e-01	-1.360544e+01
1.504036330894805e-04	2.934135e-01	-1.360544e+01
1.558019241911538e-04	2.934157e-01	-1.360544e+01
1.659213017607062e-04	2.934186e-01	-1.360544e+01
1.805112303937712e-04	2.934213e-01	-1.360544e+01
1.951958709045313e-04	2.934226e-01	-1.360544e+01
2.245651519260517e-04	2.934239e-01	-1.360544e+01
2.311203277073017e-04	2.934240e-01	-1.360544e+01
2.442306792698017e-04	2.934240e-01	-1.360544e+01
2.704513823948017e-04	2.934241e-01	-1.360545e+01
2.745110393622720e-04	2.934241e-01	-1.360545e+01
2.826303532972127e-04	2.934242e-01	-1.360545e+01
2.846601817809479e-04	2.934242e-01	-1.360545e+01
2.897347529902858e-04	2.934242e-01	-1.360545e+01
2.917645814740210e-04	2.934242e-01	-1.360545e+01
2.918581148320845e-04	2.934242e-01	-1.360545e+01
2.920451815482115e-04	2.934242e-01	-1.360545e+01
2.921668619077081e-04	2.934242e-01	-1.360545e+01
2.922905423550345e-04	2.934242e-01	-1.360545e+01
2.928552124984981e-04	2.934242e-01	-1.360545e+01
2.934348476025811e-04	2.934242e-01	-1.360545e+01
2.946298943017884e-04	2.934242e-01	-1.360545e+01
2.947014472838709e-04	2.934242e-01	-1.360545e+01
2.948445532480360e-04	2.934242e-01	-1.360545e+01
2.949402630112411e-04	2.934242e-01	-1.360545e+01
2.950327242116264e-04	2.934242e-01	-1.360545e+01
2.950426143597449e-04	2.934242e-01	-1.360545e+01
2.950623946559818e-04	2.934242e-01	-1.360545e+01
2.951019552484558e-04	2.934242e-01	-1.360545e+01
2.951031915169706e-04	2.934242e-01	-1.360545e+01
2.951056640540003e-04	2.934242e-01	-1.360545e+01
2.951106091280595e-04	2.934242e-01	-1.360545e+01
2.951204992761780e-04	2.934242e-01	-1.360545e+01
2.951247122322706e-04	2.934242e-01	-1.360545e+01
2.951272026641027e-04	2.934242e-01	-1.360545e+01
2.951287653972250e-04	2.934242e-01	-1.360545e+01
2.951298396280535e-04	2.934242e-01	-1.360545e+01
2.951307996011221e-04	2.934242e-01	-1.360545e+01
2.951318204768987e-04	2.934242e-01	-1.360545e+01
2.951327887799777e-04	2.934242e-01	-1.360545e+01
2.951338406118986e-04	2.934242e-01	-1.360545e+01
2.951349431682833e-04	2.934242e-01	-1.360545e+01
2.951363022276803e-04	2.934242e-01	-1.360545e+01
2.951371728735082e-04	2.934242e-01	-1.360545e+01
2.951378396184061e-04	2.934242e-01	-1.360545e+01
2.951386000784318e-04	2.934242e-01	-1.360545e+01
2.951394155909705e-04	2.934242e-01	-1.360545e+01
2.951398465834739e-04	2.934242e-01	-1.360545e+01
2.951403412896398e-04	2.934242e-01	-1.360545e+01
2.951409080779779e-04	2.934242e-01	-1.360545e+01
2.951418793232406e-04	2.934242e-01	-1.360545e+01
2.951427895004312e-04	2.934242e-01	-1.360545e+01
2.951440179546615e-04	2.934242e-01	-1.360545e+01
2.951453564038057e-04	2.934242e-01	-1.360545e+01
2.951472984243991e-04	2.934242e-01	-1.360545e+01
2.981170949998430e-04	2.934242e-01	-1.360545e+01
3.010868915752868e-04	2.934242e-01	-1.360545e+01
3.040566881507307e-04	2.934242e-01	-1.360545e+01
3.070264847261745e-04	2.934242e-01	-1.360545e+01
3.099962813016183e-04	2.934242e-01	-1.360545e+01
3.129660778770621e-04	2.934242e-01	-1.360545e+01
3.159358744525060e-04	2.934242e-01	-1.360545e+01
3.346647419552359e-04	2.934242e-01	-1.360545e+01
3.586304947522292e-04	2.934242e-01	-1.360545e+01
3.863114704928896e-04	2.934242e-01	-1.360545e+01
4.234377963449626e-04	2.934242e-01	-1.360545e+01
4.758792025949626e-04	2.934242e-01	-1.360546e+01
5.252370843294110e-04	2.934242e-01	-1.360546e+01
5.744234413646646e-04	2.934242e-01	-1.360546e+01
6.201850658277884e-04	2.934242e-01	-1.360546e+01
6.686481040197813e-04	2.934242e-01	-1.360546e+01
6.746000017352220e-04	2.934242e-01	-1.360546e+01
6.894797460238239e-04	2.934242e-01	-1.360547e+01
