time	V(integrateur)	V(osc_1)	V(out)
1.359765154238420e-04	3.054294e+00	1.347678e+01	3.137138e-01
1.359868144260937e-04	3.054426e+00	1.347678e+01	3.137118e-01
1.359974239940609e-04	3.054855e+00	1.347678e+01	3.137097e-01
1.360093773096691e-04	3.055777e+00	1.347678e+01	3.137090e-01
1.360263716046837e-04	3.057826e+00	1.347678e+01	3.137080e-01
1.360487318521758e-04	3.061556e+00	1.347678e+01	3.137101e-01
1.360833279982106e-04	3.068622e+00	1.347678e+01	3.137154e-01
1.361164687020255e-04	3.076038e+00	1.347678e+01	3.137222e-01
1.361539041256441e-04	3.084557e+00	1.347678e+01	3.137302e-01
1.361972194778831e-04	3.094201e+00	1.347678e+01	3.137394e-01
1.362504722411204e-04	3.105815e+00	1.347678e+01	3.137498e-01
1.366187109327881e-04	3.185778e+00	1.347677e+01	3.138222e-01
1.382158486468686e-04	3.532822e+00	1.347676e+01	3.141362e-01
1.398880197879000e-04	3.896153e+00	1.347675e+01	3.144650e-01
1.424080197879006e-04	4.443674e+00	1.347672e+01	3.149604e-01
1.449280197879012e-04	4.991159e+00	1.347670e+01	3.154559e-01
1.474529416629015e-04	5.539682e+00	1.347668e+01	3.159884e-01
1.476258114809486e-04	5.577238e+00	1.347668e+01	3.159862e-01
1.476455610760243e-04	5.582089e+00	1.347668e+01	3.469933e-01
1.476585584129879e-04	5.588055e+00	1.347668e+01	5.218496e-01
1.476667024887593e-04	5.597930e+00	1.347668e+01	9.723651e-01
1.476722895332062e-04	5.613998e+00	1.347668e+01	1.790853e+00
1.476769234057592e-04	5.639150e+00	1.347668e+01	3.096097e+00
1.476813170267731e-04	5.675251e+00	1.347668e+01	4.931476e+00
1.476859297179448e-04	5.721662e+00	1.347668e+01	7.178572e+00
1.476910103083307e-04	5.771689e+00	1.347668e+01	9.426850e+00
1.476970908673367e-04	5.817980e+00	1.347668e+01	1.133256e+01
1.477030108423486e-04	5.845150e+00	1.347668e+01	1.239086e+01
1.477073840638107e-04	5.852890e+00	1.347668e+01	1.276190e+01
1.477126763374768e-04	5.851086e+00	1.347668e+01	1.295424e+01
1.477185267535468e-04	5.840428e+00	1.347668e+01	1.304410e+01
