time	V(n002)	V(n004)
1.063827432243478e-02	1.347704e+01	4.010366e-01
1.063827540354063e-02	1.347704e+01	3.501341e-01
1.063827676598697e-02	1.347704e+01	3.228152e-01
1.063827835717690e-02	1.347704e+01	3.146070e-01
1.063828019506722e-02	1.347704e+01	3.139371e-01
1.063828209985992e-02	1.347704e+01	3.138069e-01
1.063828590944530e-02	1.347704e+01	3.136023e-01
1.063829352861607e-02	1.347704e+01	3.133802e-01
1.063830320632717e-02	1.347704e+01	3.132693e-01
1.063831497907980e-02	1.347704e+01	3.132755e-01
1.063832935843289e-02	1.347704e+01	3.133542e-01
1.063834854778182e-02	1.347704e+01	3.134789e-01
1.063836657260032e-02	1.347704e+01	3.135770e-01
1.063838616915409e-02	1.347704e+01	3.136509e-01
1.063840535885078e-02	1.347704e+01	3.136919e-01
1.063842896741144e-02	1.347704e+01	3.137144e-01
1.063844319604893e-02	1.347704e+01	3.137196e-01
1.063845190014623e-02	1.347704e+01	3.137184e-01
1.063846115507666e-02	1.347704e+01	3.137166e-01
1.063846979633898e-02	1.347704e+01	3.137147e-01
1.063847988621992e-02	1.347704e+01	3.137121e-01
1.063848971779300e-02	1.347704e+01	3.137102e-01
1.063850111733530e-02	1.347704e+01	3.137080e-01
1.063851373761516e-02	1.347704e+01	3.137074e-01
1.063853244472920e-02	1.347704e+01	3.137069e-01
1.063855654169293e-02	1.347704e+01	3.137097e-01
1.063859743194498e-02	1.347704e+01	3.137168e-01
1.063863039518067e-02	1.347704e+01	3.137237e-01
1.063866976817582e-02	1.347704e+01	3.137321e-01
1.063871337797304e-02	1.347704e+01	3.137412e-01
1.063877750251666e-02	1.347704e+01	3.137537e-01
1.063918520486941e-02	1.347703e+01	3.138338e-01
1.064786706259904e-02	1.347695e+01	3.155766e-01
1.064790314732085e-02	1.347695e+01	3.155617e-01
1.064793923204266e-02	1.347695e+01	3.155525e-01
1.064797531676447e-02	1.347695e+01	3.155488e-01
1.064801140148628e-02	1.347695e+01	3.155508e-01
1.064804748620809e-02	1.347695e+01	3.155584e-01
1.064808357092990e-02	1.347695e+01	3.155716e-01
1.064811965565171e-02	1.347694e+01	3.155904e-01
1.065012899182894e-02	1.347693e+01	3.159854e-01
1.065013603997765e-02	1.347693e+01	3.242719e-01
1.065015013627508e-02	1.347693e+01	4.261244e-01
1.065015763178850e-02	1.347693e+01	6.697912e-01
1.065016357429674e-02	1.347693e+01	1.205105e+00
1.065016810843496e-02	1.347692e+01	2.067471e+00
1.065017246198363e-02	1.347692e+01	3.470264e+00
1.065017660012509e-02	1.347692e+01	5.299904e+00
1.065018137544094e-02	1.347692e+01	7.639819e+00
1.065018636080938e-02	1.347692e+01	9.766329e+00
1.065019235307274e-02	1.347692e+01	1.150152e+01
1.065019865973142e-02	1.347692e+01	1.250471e+01
1.065020300590144e-02	1.347692e+01	1.282150e+01
1.065020847784290e-02	1.347692e+01	1.298324e+01
1.065021438656427e-02	1.347692e+01	1.305562e+01
1.065022309360635e-02	1.347692e+01	1.308931e+01
1.065023360083791e-02	1.347692e+01	1.309740e+01
1.065025131945146e-02	1.347692e+01	1.309250e+01
1.065027047642726e-02	1.347692e+01	1.308379e+01
1.065028979927629e-02	1.347692e+01	1.307628e+01
1.065030851407178e-02	1.347692e+01	1.307147e+01
1.065032894490226e-02	1.347692e+01	1.306868e+01
1.065035525081754e-02	1.347692e+01	1.306723e+01
1.065036551509520e-02	1.347692e+01	1.306714e+01
1.065037467728038e-02	1.347692e+01	1.306727e+01
1.065038483641896e-02	1.347692e+01	1.306748e+01
1.065039564136277e-02	1.347692e+01	1.306771e+01
1.065040682632822e-02	1.347692e+01	1.306794e+01
1.065041762466090e-02	1.347692e+01	1.306812e+01
1.065043032300796e-02	1.347692e+01	1.306827e+01
1.065044539527321e-02	1.347692e+01	1.306834e+01
1.065046919947086e-02	1.347692e+01	1.306827e+01
1.065050665141635e-02	1.347692e+01	1.306793e+01
1.065053787516232e-02	1.347692e+01	1.306753e+01
1.065057348415456e-02	1.347692e+01	1.306705e+01
1.065061290422784e-02	1.347692e+01	1.306655e+01
1.065066618804744e-02	1.347692e+01	1.306590e+01
1.065075738131253e-02	1.347692e+01	1.306483e+01
1.065085472363128e-02	1.347692e+01	1.306368e+01
1.065099465727708e-02	1.347692e+01	1.306202e+01
1.065127452456868e-02	1.347691e+01	1.305870e+01
1.065163776083965e-02	1.347691e+01	1.305441e+01
1.065228212158948e-02	1.347690e+01	1.304679e+01
1.065291067511783e-02	1.347690e+01	1.303937e+01
1.065390874674445e-02	1.347689e+01	1.302761e+01
1.065751418030814e-02	1.347686e+01	1.298538e+01
1.066290735849476e-02	1.347681e+01	1.292269e+01
1.066561342226320e-02	1.347678e+01	1.289151e+01
1.066562605516336e-02	1.347678e+01	1.289137e+01
1.066564812792735e-02	1.347678e+01	1.289112e+01
1.066567073997681e-02	1.347678e+01	1.289085e+01
1.066569257628850e-02	1.347678e+01	1.289060e+01
1.066572042017356e-02	1.347678e+01	1.289028e+01
1.066572738114482e-02	1.347678e+01	1.289020e+01
1.066574130308735e-02	1.347678e+01	1.289005e+01
1.066576914697240e-02	1.347678e+01	1.288969e+01
1.066577610794367e-02	1.347678e+01	1.288947e+01
1.066577784818648e-02	1.347678e+01	1.288908e+01
1.066578132867211e-02	1.347678e+01	1.288101e+01
1.066578466908250e-02	1.347678e+01	1.281309e+01
1.066578722878198e-02	1.347678e+01	1.251434e+01
1.066578916635113e-02	1.347678e+01	1.168523e+01
1.066579063069322e-02	1.347678e+01	1.009509e+01
1.066579187062836e-02	1.347678e+01	7.677680e+00
1.066579324926947e-02	1.347678e+01	4.269613e+00
1.066579399918382e-02	1.347678e+01	2.587929e+00
1.066579463891873e-02	1.347678e+01	1.627525e+00
1.066579538473383e-02	1.347678e+01	9.998583e-01
1.066579583719633e-02	1.347678e+01	7.905976e-01
1.066579636327040e-02	1.347678e+01	6.495952e-01
1.066579693924417e-02	1.347678e+01	5.470455e-01
1.066579790016509e-02	1.347678e+01	4.387293e-01
1.066579882356544e-02	1.347678e+01	3.767159e-01
1.066580006749947e-02	1.347678e+01	3.351005e-01
1.066580143415536e-02	1.347678e+01	3.178222e-01
1.066580309366540e-02	1.347678e+01	3.140568e-01
1.066580490512482e-02	1.347678e+01	3.139009e-01
1.066580746454559e-02	1.347678e+01	3.137360e-01
1.066581258338713e-02	1.347678e+01	3.135172e-01
1.066582245865859e-02	1.347678e+01	3.133089e-01
1.066583205197292e-02	1.347678e+01	3.132572e-01
1.066584580355954e-02	1.347678e+01	3.133075e-01
1.066586117668656e-02	1.347678e+01	3.134050e-01
1.066587755450612e-02	1.347678e+01	3.135084e-01
1.066589720455802e-02	1.347678e+01	3.136055e-01
1.066591593231399e-02	1.347678e+01	3.136663e-01
1.066593720920406e-02	1.347678e+01	3.137021e-01
1.066596175534599e-02	1.347678e+01	3.137183e-01
1.066597323760977e-02	1.347678e+01	3.137200e-01
1.066598042839826e-02	1.347678e+01	3.137188e-01
1.066598899401618e-02	1.347678e+01	3.137167e-01
1.066599816313377e-02	1.347678e+01	3.137145e-01
1.066600828847860e-02	1.347678e+01	3.137121e-01
1.066601865065875e-02	1.347678e+01	3.137102e-01
1.066603019061919e-02	1.347678e+01	3.137085e-01
1.066604516576728e-02	1.347678e+01	3.137079e-01
1.066606560386061e-02	1.347678e+01	3.137086e-01
1.066609485512079e-02	1.347678e+01	3.137126e-01
1.066613340001840e-02	1.347678e+01	3.137200e-01
1.066617126348855e-02	1.347678e+01	3.137282e-01
1.066621537665419e-02	1.347678e+01	3.137375e-01
1.066626246282390e-02	1.347678e+01	3.137470e-01
1.066634679004969e-02	1.347678e+01	3.137635e-01
1.066714954116490e-02	1.347677e+01	3.139213e-01
1.066795229228011e-02	1.347676e+01	3.140791e-01
1.066875504339532e-02	1.347675e+01	3.142369e-01
1.066955779451053e-02	1.347675e+01	3.143947e-01
1.067036054562574e-02	1.347674e+01	3.145526e-01
1.067116329674095e-02	1.347673e+01	3.147104e-01
1.067196604785616e-02	1.347673e+01	3.148682e-01
1.067278295864165e-02	1.347672e+01	3.150352e-01
1.067359986942715e-02	1.347672e+01	3.152001e-01
1.067441678021264e-02	1.347671e+01	3.153630e-01
1.067523369099814e-02	1.347670e+01	3.155237e-01
1.067605060178363e-02	1.347669e+01	3.156824e-01
1.067686751256913e-02	1.347669e+01	3.158390e-01
1.067768442335462e-02	1.347668e+01	3.159935e-01
1.067768533491940e-02	1.347668e+01	3.162598e-01
1.067768715804895e-02	1.347668e+01	3.201052e-01
1.067769080430804e-02	1.347668e+01	3.468353e-01
1.067769649946909e-02	1.347668e+01	4.525295e-01
1.067770186926224e-02	1.347668e+01	6.911997e-01
1.067770694339554e-02	1.347668e+01	1.197468e+00
1.067771167013425e-02	1.347668e+01	2.126621e+00
1.067771600842470e-02	1.347668e+01	3.545952e+00
1.067772021632252e-02	1.347668e+01	5.425714e+00
1.067772505557759e-02	1.347668e+01	7.790915e+00
1.067773011611900e-02	1.347668e+01	9.913352e+00
1.067773605428974e-02	1.347668e+01	1.157232e+01
1.067774258406625e-02	1.347668e+01	1.254911e+01
1.067774720410845e-02	1.347668e+01	1.285654e+01
1.067775290017190e-02	1.347668e+01	1.300299e+01
1.067775885679211e-02	1.347668e+01	1.306402e+01
1.067776804534304e-02	1.347668e+01	1.309210e+01
1.067777919322583e-02	1.347668e+01	1.309773e+01
1.067779875820551e-02	1.347668e+01	1.309106e+01
1.067781688351291e-02	1.347668e+01	1.308280e+01
1.067783500918331e-02	1.347668e+01	1.307604e+01
1.067785401453927e-02	1.347668e+01	1.307145e+01
1.067787513372204e-02	1.347668e+01	1.306874e+01
1.067789675612475e-02	1.347668e+01	1.306762e+01
1.067790719594653e-02	1.347668e+01	1.306753e+01
1.067791620518416e-02	1.347668e+01	1.306763e+01
1.067792620628810e-02	1.347668e+01	1.306782e+01
1.067793659959970e-02	1.347668e+01	1.306804e+01
1.067794778295071e-02	1.347668e+01	1.306827e+01
1.067795830949924e-02	1.347668e+01	1.306845e+01
1.067797086513509e-02	1.347668e+01	1.306861e+01
1.067798441066625e-02	1.347668e+01	1.306869e+01
1.067800668857513e-02	1.347668e+01	1.306867e+01
1.067803822397047e-02	1.347668e+01	1.306843e+01
1.067806849194265e-02	1.347668e+01	1.306806e+01
1.067810216155571e-02	1.347668e+01	1.306761e+01
1.067814169490922e-02	1.347668e+01	1.306709e+01
1.067818757926732e-02	1.347668e+01	1.306653e+01
1.067826260064204e-02	1.347667e+01	1.306564e+01
1.067836395410344e-02	1.347667e+01	1.306445e+01
1.067847517702461e-02	1.347667e+01	1.306313e+01
1.067869762286696e-02	1.347667e+01	1.306049e+01
1.067897811727160e-02	1.347667e+01	1.305717e+01
1.067953910608090e-02	1.347666e+01	1.305054e+01
1.068011951666469e-02	1.347666e+01	1.304368e+01
1.068099075689440e-02	1.347665e+01	1.303341e+01
1.068387835283533e-02	1.347663e+01	1.299951e+01
1.068685817336606e-02	1.347660e+01	1.296478e+01
1.069281781442753e-02	1.347656e+01	1.289575e+01
1.069304495091218e-02	1.347655e+01	1.289313e+01
1.069312674631514e-02	1.347655e+01	1.289219e+01
1.069318477108633e-02	1.347655e+01	1.289153e+01
1.069324618746550e-02	1.347655e+01	1.289082e+01
1.069330358212798e-02	1.347655e+01	1.289016e+01
1.069331382525453e-02	1.347655e+01	1.289005e+01
1.069333431150763e-02	1.347655e+01	1.288981e+01
1.069333943307091e-02	1.347655e+01	1.288975e+01
1.069334967619746e-02	1.347655e+01	1.288963e+01
1.069335223697909e-02	1.347655e+01	1.288960e+01
1.069335735854237e-02	1.347655e+01	1.288859e+01
1.069336099518362e-02	1.347655e+01	1.287807e+01
1.069336390829382e-02	1.347655e+01	1.281052e+01
1.069336620222953e-02	1.347655e+01	1.253871e+01
1.069336799902313e-02	1.347655e+01	1.178481e+01
1.069336948081252e-02	1.347655e+01	1.023740e+01
1.069337069340632e-02	1.347655e+01	7.932921e+00
1.069337213187506e-02	1.347655e+01	4.397435e+00
1.069337291613394e-02	1.347655e+01	2.620070e+00
1.069337354521012e-02	1.347655e+01	1.655039e+00
1.069337429198400e-02	1.347655e+01	1.011667e+00
1.069337473000499e-02	1.347655e+01	8.027482e-01
1.069337524390859e-02	1.347655e+01	6.607928e-01
1.069337581685569e-02	1.347655e+01	5.552643e-01
1.069337675993267e-02	1.347655e+01	4.448451e-01
1.069337767145886e-02	1.347655e+01	3.808966e-01
1.069337889500024e-02	1.347655e+01	3.373109e-01
1.069338024197614e-02	1.347655e+01	3.185437e-01
1.069338194143055e-02	1.347655e+01	3.140676e-01
1.069338376289974e-02	1.347655e+01	3.139044e-01
1.069338615804398e-02	1.347655e+01	3.137503e-01
1.069339094833245e-02	1.347655e+01	3.135343e-01
1.069340052890939e-02	1.347655e+01	3.133182e-01
1.069341003148195e-02	1.347655e+01	3.132566e-01
1.069342351463387e-02	1.347655e+01	3.132999e-01
1.069343852034348e-02	1.347655e+01	3.133934e-01
1.069345488929294e-02	1.347655e+01	3.134981e-01
1.069347447772802e-02	1.347655e+01	3.135977e-01
1.069349317579107e-02	1.347655e+01	3.136611e-01
1.069351420189162e-02	1.347655e+01	3.136991e-01
1.069353799460579e-02	1.347655e+01	3.137165e-01
1.069355021395396e-02	1.347655e+01	3.137195e-01
1.069355763594531e-02	1.347655e+01	3.137182e-01
1.069356612315665e-02	1.347655e+01	3.137161e-01
1.069357523608998e-02	1.347655e+01	3.137141e-01
1.069358521184564e-02	1.347655e+01	3.137116e-01
1.069359547627337e-02	1.347655e+01	3.137096e-01
1.069360679159419e-02	1.347655e+01	3.137077e-01
1.069362077308715e-02	1.347655e+01	3.137071e-01
1.069364019867916e-02	1.347655e+01	3.137072e-01
1.069366701801991e-02	1.347655e+01	3.137108e-01
1.069371446220499e-02	1.347655e+01	3.137196e-01
1.069375567484349e-02	1.347655e+01	3.137285e-01
1.069380083568216e-02	1.347655e+01	3.137379e-01
1.069384708166854e-02	1.347655e+01	3.137473e-01
1.069393704982020e-02	1.347655e+01	3.137648e-01
1.069477943178348e-02	1.347654e+01	3.139318e-01
1.069562181374676e-02	1.347653e+01	3.140972e-01
1.069646419571004e-02	1.347653e+01	3.142611e-01
1.069730657767332e-02	1.347652e+01	3.144233e-01
1.069814895963660e-02	1.347652e+01	3.145840e-01
1.069899134159988e-02	1.347651e+01	3.147431e-01
1.069983372356316e-02	1.347650e+01	3.149006e-01
1.070524429172290e-02	1.347646e+01	3.159877e-01
1.070525051422288e-02	1.347646e+01	3.200615e-01
1.070526295922283e-02	1.347646e+01	3.438989e-01
1.070526392478865e-02	1.347646e+01	3.509330e-01
1.070526585592027e-02	1.347646e+01	3.813033e-01
