time	V(oscillateur_2)	V(n003)
6.366633813634385e-05	1.204612e+01	5.499172e+00
6.386165063634385e-05	1.204437e+01	5.472326e+00
6.405696313634386e-05	1.204263e+01	5.445489e+00
6.425227563634386e-05	1.204089e+01	5.418663e+00
6.444758813634387e-05	1.203915e+01	5.391848e+00
6.464290063634387e-05	1.203741e+01	5.365042e+00
6.503352563634388e-05	1.203393e+01	5.311461e+00
6.561946313634390e-05	1.202871e+01	5.231168e+00
6.642861492205821e-05	1.202152e+01	5.120439e+00
6.723776670777251e-05	1.201434e+01	5.009884e+00
6.804691849348683e-05	1.200717e+01	4.899506e+00
6.885607027920114e-05	1.200002e+01	4.789302e+00
6.966522206491545e-05	1.199287e+01	4.679273e+00
7.047437385062975e-05	1.198574e+01	4.569420e+00
7.128352563634406e-05	1.197861e+01	4.459742e+00
8.026790063634432e-05	1.190028e+01	3.253567e+00
8.029231469884432e-05	1.190007e+01	3.250318e+00
8.034114282384431e-05	1.189965e+01	3.243821e+00
8.038943994849339e-05	1.189923e+01	3.237395e+00
8.043306113066906e-05	1.189885e+01	3.231592e+00
8.044396642621297e-05	1.189876e+01	3.230141e+00
8.046577701730080e-05	1.189857e+01	3.227240e+00
8.047122966507276e-05	1.189852e+01	3.226514e+00
8.048213496061668e-05	1.189643e+01	3.225026e+00
8.050394555170451e-05	1.188607e+01	3.221933e+00
8.050421178368294e-05	1.188564e+01	3.221891e+00
8.050474424763981e-05	1.188319e+01	3.221782e+00
8.050580917555355e-05	1.186237e+01	3.221324e+00
8.050793903138103e-05	1.172363e+01	3.218938e+00
8.050947485280380e-05	1.140504e+01	3.213899e+00
8.051080618110069e-05	1.068934e+01	3.202827e+00
8.051195949001560e-05	9.394049e+00	3.182775e+00
8.051312085169069e-05	7.250585e+00	3.149017e+00
8.051433078387248e-05	4.466074e+00	3.103695e+00
8.051513899795359e-05	2.723454e+00	3.073447e+00
8.051580814948139e-05	1.713052e+00	3.053496e+00
8.051659448269696e-05	1.021819e+00	3.036546e+00
8.051699732177477e-05	8.227584e-01	3.030025e+00
8.051749238419577e-05	6.807718e-01	3.023564e+00
8.051808455172280e-05	5.666515e-01	3.016866e+00
8.051903012643479e-05	4.507813e-01	3.007627e+00
8.051992553535396e-05	3.850470e-01	3.000141e+00
8.052112337780935e-05	3.396977e-01	2.991754e+00
8.052245694250582e-05	3.194982e-01	2.984178e+00
8.052438085526874e-05	3.139186e-01	2.975655e+00
8.052612603989763e-05	3.137285e-01	2.969985e+00
8.052853614592327e-05	3.135907e-01	2.965474e+00
8.053335635797457e-05	3.133878e-01	2.964570e+00
8.054299678207714e-05	3.131896e-01	2.978880e+00
8.055247511493697e-05	3.131338e-01	3.005554e+00
8.056599535512856e-05	3.131752e-01	3.053499e+00
8.058098733508397e-05	3.132617e-01	3.106660e+00
8.059737308516541e-05	3.133586e-01	3.156687e+00
8.061686712323238e-05	3.134498e-01	3.201434e+00
8.063559345052658e-05	3.135083e-01	3.229358e+00
8.065664950406209e-05	3.135430e-01	3.246176e+00
8.068074785647451e-05	3.135588e-01	3.254839e+00
8.069273250021185e-05	3.135623e-01	3.256385e+00
8.070000770193300e-05	3.135609e-01	3.256588e+00
8.070862564920375e-05	3.135587e-01	3.256634e+00
8.071800949790444e-05	3.135571e-01	3.256680e+00
8.072826620846272e-05	3.135548e-01	3.256857e+00
8.073884945665320e-05	3.135532e-01	3.257284e+00
8.075053266086996e-05	3.135513e-01	3.258140e+00
8.076661234278860e-05	3.135514e-01	3.259966e+00
8.078751253853754e-05	3.135521e-01	3.263269e+00
8.081825460291249e-05	3.135568e-01	3.269336e+00
8.085632591377397e-05	3.135642e-01	3.277735e+00
8.089495695362977e-05	3.135726e-01	3.286496e+00
8.093980386984923e-05	3.135819e-01	3.296496e+00
8.098945499332286e-05	3.135919e-01	3.307336e+00
8.108155655294561e-05	3.136098e-01	3.327305e+00
9.130515871677263e-05	3.156176e-01	5.548636e+00
9.141033107126694e-05	4.380681e-01	5.573638e+00
9.146429034549940e-05	6.962671e-01	5.589873e+00
9.146473863739827e-05	7.122788e-01	5.590216e+00
9.146563522119600e-05	7.800875e-01	5.591458e+00
9.146742838879149e-05	9.730818e-01	5.594994e+00
9.147101472398247e-05	1.545645e+00	5.605615e+00
9.147455427413665e-05	2.413086e+00	5.621924e+00
9.147832159721488e-05	3.745954e+00	5.647530e+00
9.148221351169334e-05	5.455068e+00	5.681794e+00
9.148762672694802e-05	7.842021e+00	5.732965e+00
9.149395061761343e-05	1.001451e+01	5.783871e+00
9.149978713132176e-05	1.120365e+01	5.814214e+00
9.150560216677406e-05	1.174403e+01	5.826894e+00
9.151163409441478e-05	1.196079e+01	5.826080e+00
9.151829643666069e-05	1.204072e+01	5.814395e+00
9.152697012340287e-05	1.206872e+01	5.790030e+00
9.153965652102674e-05	1.207444e+01	5.748133e+00
9.155823833503647e-05	1.206929e+01	5.688280e+00
9.157714363727576e-05	1.206210e+01	5.637987e+00
9.159619071429221e-05	1.205618e+01	5.602347e+00
9.161479597887325e-05	1.205245e+01	5.581610e+00
9.163560202242238e-05	1.205027e+01	5.570488e+00
9.165689341051881e-05	1.204939e+01	5.566510e+00
9.166738258433727e-05	1.204933e+01	5.566397e+00
9.167750358941231e-05	1.204945e+01	5.567001e+00
9.168816062041795e-05	1.204964e+01	5.567744e+00
9.169975365628461e-05	1.204986e+01	5.568435e+00
9.171164019661756e-05	1.205008e+01	5.568866e+00
9.172295181493915e-05	1.205024e+01	5.568921e+00
9.173600778792885e-05	1.205037e+01	5.568528e+00
9.175059616968833e-05	1.205043e+01	5.567539e+00
9.177385092318885e-05	1.205039e+01	5.565082e+00
9.181156922170389e-05	1.205013e+01	5.560059e+00
9.184351061467746e-05	1.204982e+01	5.555395e+00
9.187878761109785e-05	1.204945e+01	5.550218e+00
9.191686779525835e-05	1.204908e+01	5.544821e+00
9.196885785334318e-05	1.204861e+01	5.537647e+00
9.205498024421572e-05	1.204785e+01	5.525845e+00
9.214823896529697e-05	1.204702e+01	5.513033e+00
9.227903108261238e-05	1.204585e+01	5.495045e+00
9.247434358261239e-05	1.204411e+01	5.468201e+00
9.266965608261239e-05	1.204236e+01	5.441366e+00
9.286496858261240e-05	1.204062e+01	5.414541e+00
9.306028108261241e-05	1.203888e+01	5.387727e+00
9.325559358261241e-05	1.203714e+01	5.360923e+00
9.364621858261242e-05	1.203366e+01	5.307345e+00
9.423215608261244e-05	1.202845e+01	5.227057e+00
9.501340608261246e-05	1.202150e+01	5.120149e+00
9.579465608261248e-05	1.201457e+01	5.013405e+00
9.657590608261251e-05	1.200765e+01	4.906824e+00
9.735715608261253e-05	1.200074e+01	4.800406e+00
9.813840608261255e-05	1.199384e+01	4.694152e+00
9.891965608261257e-05	1.198695e+01	4.588061e+00
9.970090608261260e-05	1.198007e+01	4.482133e+00
1.088805935826129e-04	1.190002e+01	3.249572e+00
1.089050076451129e-04	1.189981e+01	3.246324e+00
1.089538357701129e-04	1.189939e+01	3.239827e+00
1.090057748597784e-04	1.189894e+01	3.232917e+00
1.090126803535846e-04	1.189888e+01	3.231998e+00
1.090264913411970e-04	1.189876e+01	3.230161e+00
1.090541133164217e-04	1.189852e+01	3.226487e+00
1.090549765031474e-04	1.189851e+01	3.226372e+00
1.090567028765990e-04	1.189850e+01	3.226142e+00
1.090601556235021e-04	1.189847e+01	3.225683e+00
1.090670611173082e-04	1.189817e+01	3.224761e+00
1.090719641770859e-04	1.189297e+01	3.224027e+00
1.090758717447741e-04	1.183256e+01	3.222568e+00
1.090789367716975e-04	1.145486e+01	3.216326e+00
1.090813843223157e-04	1.025753e+01	3.197503e+00
1.090830019075952e-04	8.233535e+00	3.165664e+00
1.090844127404376e-04	5.382229e+00	3.119660e+00
1.090855598105212e-04	2.873118e+00	3.076977e+00
1.090862072457532e-04	1.825591e+00	3.056914e+00
1.090870604771663e-04	1.041797e+00	3.038131e+00
1.090875234225574e-04	8.084435e-01	3.030606e+00
1.090880194714316e-04	6.692073e-01	3.024210e+00
1.090885988838833e-04	5.610729e-01	3.017755e+00
1.090895785675173e-04	4.449792e-01	3.008330e+00
1.090904865858349e-04	3.807834e-01	3.000863e+00
1.090917017779194e-04	3.373588e-01	2.992525e+00
