time	V(v_controle)	V(v_integrateur)
1.076065058547634e-02	2.848885e-01	1.830148e-01
1.076066463516109e-02	2.848885e-01	1.830283e-01
1.076067333809220e-02	2.848885e-01	1.830366e-01
1.076068288814631e-02	2.848885e-01	1.830458e-01
1.076069272803024e-02	2.848885e-01	1.830553e-01
1.076070364222252e-02	2.848885e-01	1.830658e-01
1.076071432674867e-02	2.848885e-01	1.830760e-01
1.076072553951597e-02	2.848885e-01	1.830868e-01
1.076073792542227e-02	2.848885e-01	1.830987e-01
1.076075343659491e-02	2.848885e-01	1.831136e-01
1.076077668701376e-02	2.848885e-01	1.831360e-01
1.076081419273574e-02	2.848885e-01	1.831721e-01
1.076084489752399e-02	2.848885e-01	1.832016e-01
1.076088022982547e-02	2.848885e-01	1.832356e-01
1.076091995476251e-02	2.848885e-01	1.832737e-01
1.076097287624276e-02	2.848885e-01	1.833246e-01
1.076106658553444e-02	2.848885e-01	1.834147e-01
1.076116486557256e-02	2.848885e-01	1.835092e-01
1.076130588768167e-02	2.848885e-01	1.836448e-01
1.076158793189988e-02	2.848885e-01	1.839160e-01
1.076195115796859e-02	2.848885e-01	1.842653e-01
1.076259848211919e-02	2.848885e-01	1.848877e-01
1.076322806184506e-02	2.848885e-01	1.854930e-01
1.076423214693585e-02	2.848885e-01	1.864585e-01
1.076543868969545e-02	2.848885e-01	1.876186e-01
1.076785177521465e-02	2.848885e-01	1.899388e-01
1.077221692398186e-02	2.848885e-01	1.941360e-01
1.077330821117366e-02	2.848885e-01	1.951853e-01
1.077555899100675e-02	2.848885e-01	1.973494e-01
1.077579771007996e-02	2.848885e-01	1.975790e-01
1.077593412097893e-02	2.848885e-01	1.977101e-01
1.077600524582222e-02	2.848885e-01	1.977785e-01
1.077607910953069e-02	2.848885e-01	1.978495e-01
1.077608695725449e-02	2.848885e-01	1.978571e-01
1.077610265270209e-02	2.848885e-01	1.978722e-01
1.077610314318483e-02	2.848885e-01	1.978727e-01
1.077610412415030e-02	2.848885e-01	1.978736e-01
1.077610608608126e-02	2.848885e-01	1.978755e-01
1.077611000994316e-02	2.848885e-01	1.978793e-01
1.077611279975096e-02	2.848885e-01	1.978819e-01
1.077611503952495e-02	2.848885e-01	1.978841e-01
1.077611676387424e-02	2.848885e-01	1.978858e-01
1.077611821836249e-02	2.848885e-01	1.978872e-01
1.077611942566627e-02	2.848885e-01	1.978883e-01
1.077612082711183e-02	2.848885e-01	1.978897e-01
1.077612159041413e-02	2.848885e-01	1.978904e-01
1.077612222589217e-02	2.848885e-01	1.978910e-01
1.077612297192151e-02	2.848885e-01	1.978917e-01
1.077612341837633e-02	2.848885e-01	1.978921e-01
1.077612393909362e-02	2.848885e-01	1.978927e-01
1.077612451363487e-02	2.848885e-01	1.978932e-01
1.077612546597855e-02	2.848885e-01	1.978941e-01
1.077612638428395e-02	2.848885e-01	1.978950e-01
1.077612761891162e-02	2.848885e-01	1.978962e-01
1.077612897668623e-02	2.848885e-01	1.978975e-01
1.077613065257493e-02	2.848885e-01	1.978991e-01
1.077613246826883e-02	2.848885e-01	1.979008e-01
1.077613494907641e-02	2.848885e-01	1.979032e-01
1.077613991069156e-02	2.848885e-01	1.979080e-01
1.077614983392187e-02	2.848885e-01	1.979176e-01
1.077615930878953e-02	2.848885e-01	1.979267e-01
1.077617308241019e-02	2.848885e-01	1.979399e-01
1.077618820689523e-02	2.848885e-01	1.979544e-01
1.077620466271647e-02	2.848885e-01	1.979703e-01
1.077622420040163e-02	2.848885e-01	1.979891e-01
1.077624299235431e-02	2.848885e-01	1.980071e-01
1.077626411421176e-02	2.848885e-01	1.980274e-01
1.077628845912994e-02	2.848885e-01	1.980508e-01
1.077630019543088e-02	2.848885e-01	1.980621e-01
1.077630730127003e-02	2.848885e-01	1.980690e-01
1.077631575803900e-02	2.848885e-01	1.980771e-01
1.077632492122152e-02	2.848885e-01	1.980859e-01
1.077633497729357e-02	2.848885e-01	1.980956e-01
1.077634530569080e-02	2.848885e-01	1.981055e-01
1.077635672973643e-02	2.848885e-01	1.981165e-01
1.077637125430614e-02	2.848885e-01	1.981304e-01
1.077639121166712e-02	2.848885e-01	1.981496e-01
1.077641932812642e-02	2.848885e-01	1.981767e-01
1.077646206796364e-02	2.848885e-01	1.982178e-01
1.077650160553188e-02	2.848885e-01	1.982558e-01
1.077654611256200e-02	2.848885e-01	1.982986e-01
1.077659287613058e-02	2.848885e-01	1.983435e-01
1.077667995564285e-02	2.848885e-01	1.984273e-01
1.077710807363390e-02	2.848885e-01	1.988389e-01
1.077753619162496e-02	2.848885e-01	1.992506e-01
1.077796430961602e-02	2.848885e-01	1.996622e-01
1.077839242760708e-02	2.848885e-01	2.000738e-01
1.077882054559813e-02	2.848885e-01	2.004855e-01
1.077924866358919e-02	2.848885e-01	2.008971e-01
1.077967678158025e-02	2.848885e-01	2.013088e-01
1.078028439825249e-02	2.848885e-01	2.018930e-01
1.078089201492472e-02	2.848885e-01	2.024772e-01
